epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,710.021,9.19869,0.00648,0.01837,8.91376,0.0099904,0.00333013,0.0099904,0.00333013,0.0099904,0.00333013,0.0099904,0.00333013
2,1448.05,7.9512,0.10534,0.23199,6.26831,0.0195946,0.00653153,0.0195946,0.00653153,0.0195946,0.00653153,0.0195946,0.00653153
3,2147.84,5.66335,0.18744,0.3755,4.77579,0.0288028,0.00960093,0.0288028,0.00960093,0.0288028,0.00960093,0.0288028,0.00960093
4,2837.11,4.77167,0.22547,0.43404,4.36099,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,3540.25,4.52644,0.22843,0.43915,4.31563,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,4218,4.50163,0.24964,0.46296,4.13199,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,4889.23,4.47947,0.26678,0.48568,4.00276,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,5581,4.43501,0.29037,0.51277,3.84481,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,6264.7,4.38488,0.30762,0.53122,3.71775,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,6938.92,4.34349,0.31932,0.54574,3.63354,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,7618.18,4.29832,0.33355,0.55923,3.55278,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,8290.85,4.25308,0.34193,0.56757,3.496,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,8962.26,4.2144,0.34913,0.57427,3.4598,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,9643.79,4.16952,0.35133,0.57874,3.42814,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,10315.6,4.12947,0.35569,0.58261,3.40258,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,10989,4.08845,0.35837,0.58581,3.38409,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,11667.6,4.05185,0.36062,0.58711,3.37376,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,12341.4,4.01604,0.36231,0.58876,3.36172,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,13016,3.97932,0.36397,0.58996,3.35748,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,13692.6,3.938,0.36549,0.59084,3.34964,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,14375.6,3.89453,0.36584,0.5916,3.34834,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,15053.7,3.85823,0.36624,0.59213,3.34548,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,15731.9,3.8133,0.3671,0.59283,3.34239,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,16413.1,3.77438,0.3676,0.59348,3.34154,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,17094.8,3.73542,0.36823,0.59367,3.33972,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,17773.9,3.69253,0.36867,0.59411,3.33916,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,18456.4,3.65023,0.36888,0.5954,3.33658,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,19142.9,3.60151,0.36975,0.59601,3.33671,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,19825.5,3.55919,0.36985,0.59632,3.33391,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,20511,3.51619,0.37097,0.59649,3.33331,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,21196.5,3.46866,0.37147,0.59682,3.33041,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,21880.5,3.41701,0.37176,0.59701,3.32817,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,22562.2,3.37716,0.37196,0.59807,3.3235,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,23244.8,3.32589,0.37256,0.59849,3.32142,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,23931.8,3.27336,0.3727,0.59952,3.31568,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,24615.1,3.21884,0.37364,0.60016,3.31336,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,25298.3,3.16643,0.37447,0.6006,3.30677,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,25981.7,3.11173,0.37528,0.60091,3.30433,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,26660.7,3.05636,0.37666,0.60112,3.29707,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,27342.5,3.00036,0.37769,0.60178,3.29294,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,28045.9,2.93802,0.37881,0.60252,3.28686,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,28735.8,2.87789,0.37935,0.60377,3.28211,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,29425.1,2.80722,0.37977,0.60466,3.2787,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,30109.6,2.74104,0.38042,0.60532,3.2728,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,30801,2.67502,0.38118,0.60558,3.27101,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,31495.3,2.59919,0.38133,0.60654,3.26756,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,32184.9,2.52001,0.38171,0.60708,3.26401,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,32874.2,2.44202,0.38233,0.60772,3.26047,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,33563.5,2.35599,0.3832,0.60862,3.25895,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,34249.3,2.26576,0.38433,0.60951,3.25409,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
